Unique_ID,Substitution,Library,Sublibrary,Plate,Well,fwd_HEG,fwd_RPG,fwd_GC,fwd_PID,fwd_aaPID,rev_HEG,rev_RPG,rev_GC,rev_PID,rev_aaPID
U_C1-A10_RX_3_0_G3,C1-A10,RX,3,0,G3,NA,NA,NA,NA,NA,0.24161862061329875,0.26711349777598536,68.2310469314,62.1830209482,52.0979020979
U_C1-A10_RX_4_0_H7,C1-A10,RX,4,0,H7,0.3324037248279366,0.38672495161924875,64.8539778449,54.3177892919,45.3488372093,0.3056753333903213,0.35590425103668977,65.4714475432,54.5970488082,41.6666666667
U_C1-A10_RX_4_0_H6,C1-A10,RX,4,0,H6,NA,NA,NA,NA,NA,0.49863438396571275,0.5368795508908779,69.1937424789,57.5789473684,42.6116838488
U_C4-A10_SL_3_0_C9,C4-A10,SL,3,0,C9,NA,NA,NA,NA,NA,0.27033837845972647,0.32186884720970804,66.5394402036,52.3193096009,36.6548042705
U_C4-A10_SL_3_0_C8,C4-A10,SL,3,0,C8,0.2648681491179696,0.3210494729460978,62.6799557032,53.5211267606,35.8974358974,0.26507752859690303,0.2941899483301274,69.4541231127,54.8548548549,40.8026755853
U_C4-A10_SL_4_0_C7,C4-A10,SL,4,0,C7,0.22235931430836384,0.2961580155330429,51.7543859649,54.1076487252,41.7475728155,0.2553397468930023,0.3314995091349596,57.9365079365,51.3358778626,39.2971246006
U_C4-A10_SL_3_0_C3,C4-A10,SL,3,0,C3,NA,NA,NA,NA,NA,0.33994776418188477,0.390974846148519,63.697705803,54.9707602339,40.0
U_C4-A10_SL_3_0_C2,C4-A10,SL,3,0,C2,0.25805978761724735,0.32727186978563605,56.2264150943,52.1831735889,42.9104477612,0.29509336656787616,0.3610095513540555,59.5607235142,54.6875,41.7582417582
U_C4-A10_SL_3_0_C1,C4-A10,SL,3,0,C1,0.40315899757576007,0.45747205660787843,65.1775486827,54.5543584721,38.6440677966,0.4125767377666599,0.4525487866687473,65.7516339869,58.9861751152,44.9438202247
H_C4-A10_RX_1_3_D04,C4-A10,RX,1,3,D04,0.2682534225051404,0.3190572987814194,62.1052631579,57.6064908722,47.7815699659,0.28053687744623557,0.3423832716905784,62.6198083067,55.8356676004,43.0303030303
U_C4-A10_SL_3_0_C6,C4-A10,SL,3,0,C6,0.19132888944976312,0.23204438299888516,60.4377104377,58.0597014925,49.0384615385,0.2588779057443088,0.3349674701647712,55.3191489362,52.5835866261,40.5940594059
H_C1-A10_RX_1_2_A01,C1-A10,RX,1,2,A01,0.31067910982966307,0.3504793671950593,67.3202614379,56.6346153846,46.0317460317,0.2737156903585849,0.33209746530008205,65.9793814433,55.9288537549,42.1221864952
H_C4-A10_RX_1_2_A12,C4-A10,RX,1,2,A12,0.2647618949067946,0.3150478276207505,62.1908127208,57.5076608784,47.6351351351,0.2846382630609949,0.3468185916302806,62.328042328,55.9888579387,43.0722891566
U_C4-A10_RX_2_0_A7,C4-A10,RX,2,0,A7,0.5186043235125966,0.5471501499966085,68.3040935673,51.3326752221,35.1351351351,0.4686091096656641,0.5043462665236131,68.9174705252,54.9410698096,41.3897280967
U_C4-A10_RX_2_0_A6,C4-A10,RX,2,0,A6,0.3432950302933709,0.3934879439723496,64.563617245,53.2432432432,45.9627329193,0.28173345464953614,0.33118422946973214,65.1851851852,54.3822597677,40.1384083045
U_C4-A10_RX_2_0_A5,C4-A10,RX,2,0,A5,0.2406750395354268,0.3056527295660149,56.8106312292,58.2582582583,49.6710526316,0.2338067944922169,0.29837684776045875,59.9769319493,54.8979591837,41.8238993711
U_C4-A10_RX_2_0_A4,C4-A10,RX,2,0,A4,NA,NA,NA,NA,NA,0.3887967107190172,0.43222011009247524,66.6666666667,58.7486744433,42.3728813559
H_C4-A10_SL_4_2_D03,C4-A10,SL,4,2,D03,NA,NA,NA,NA,NA,0.2805444118854103,0.3051393911165846,70.5685618729,57.1568627451,40.1840490798
U_C4-A10_RX_2_0_A2,C4-A10,RX,2,0,A2,NA,NA,NA,NA,NA,0.2752209417071485,0.3225328751188885,65.4456654457,53.5751295337,40.0684931507
H_C4-A10_SL_4_2_D01,C4-A10,SL,4,2,D01,0.3242128863350063,0.3994292008625035,55.3613053613,59.7872340426,46.8965517241,0.20998271152838788,0.28186605089293393,55.7692307692,51.4932126697,38.1231671554
U_C1-A10_RX_3_0_F12,C1-A10,RX,3,0,F12,0.3379618873804175,0.3599024501130552,69.9263932702,59.7222222222,46.1538461538,0.3011016919412366,0.33972648799174143,69.3726937269,62.8923766816,43.5714285714
U_C4-A10_SL_4_0_C2,C4-A10,SL,4,0,C2,0.4040919807244411,0.47219269644833084,60.6995884774,67.572815534,58.5889570552,0.5313432898288359,0.5956922057082337,62.2073578595,58.8748787585,46.1290322581
U_C1-A10_RX_2_0_H4,C1-A10,RX,2,0,H4,0.4967821666049563,0.5405032159165636,66.5644171779,60.2050326188,49.2447129909,0.463180507577516,0.5158862945093017,63.8513513514,55.1591128255,43.5897435897
H_C4-A10_RX_2_1_E10,C4-A10,RX,2,1,E10,0.2574976635137905,0.30854102562958224,61.800486618,57.5982996812,48.5815602837,0.2959643165002314,0.35614405951963984,62.619047619,58.3244962884,43.537414966
H_C4-A10_RX_3_1_A12,C4-A10,RX,3,1,A12,0.25260311561006865,0.31529470171062196,58.1534772182,55.3125,48.0427046263,0.3060311728744532,0.3688244465539311,59.8233995585,54.4933078394,38.3900928793
U_C4-A10_RX_2_0_A9,C4-A10,RX,2,0,A9,0.3166900044843463,0.3640956467679998,64.6929824561,53.0402245089,39.9380804954,0.34942228478916665,0.3879202296092201,67.6595744681,59.085133418,47.5609756098
U_C4-A10_RX_2_0_A8,C4-A10,RX,2,0,A8,NA,NA,NA,NA,NA,0.1788334140968134,0.2289693327043561,57.8105781058,56.4270152505,42.4561403509
H_C4-A10_SL_1_2_D03,C4-A10,SL,1,2,D03,NA,NA,NA,NA,NA,0.33305252836458915,0.3814535851215271,63.9088729017,54.2303771662,37.908496732
H_C4-A10_SL_1_2_D01,C4-A10,SL,1,2,D01,0.41384032195025033,0.44675417655643096,64.0382317802,58.0104712042,43.661971831,0.3843444782431908,0.4496757878882961,64.3467643468,54.7150259067,44.4444444444
H_C4-A10_SL_4_3_D03,C4-A10,SL,4,3,D03,0.36408911379816883,0.4009312038732832,68.281938326,60.6815203145,48.4978540773,0.3101796030010096,0.3729064995323033,63.7583892617,57.7299412916,43.9252336449
U_C1-A10_SL_3_0_A4,C1-A10,SL,3,0,A4,0.2806467509185251,0.354383606136993,59.3418259023,52.6745240254,45.5108359133,0.4284010440172986,0.4920581500411326,60.3333333333,54.1007194245,43.2692307692
U_C4-A10_SL_4_0_B10,C4-A10,SL,4,0,B10,0.27541784516106327,0.31051719274932904,66.1955241461,54.5086119554,40.6896551724,0.39423359668181074,0.43403062568445255,67.3378076063,59.587020649,56.0655737705
H_C1-A10_SL_3_1_E04,C1-A10,SL,3,1,E04,0.3630579979326147,0.40488530891490115,68.5185185185,60.9636184857,53.03514377,0.2751194385322808,0.3426235229459195,63.3333333333,62.3323013416,58.8628762542
U_C1-A10_SL_2_0_F8,C1-A10,SL,2,0,F8,0.3447375868164579,0.3893087225285213,67.0744138634,54.5851528384,38.8888888889,0.3100159095431231,0.3523005721429362,69.2214111922,53.2454361055,40.5594405594
U_C1-A10_RX_2_0_E4,C1-A10,RX,2,0,E4,0.3687846728350581,0.41034787462543326,67.6100628931,53.6693191866,47.2222222222,0.31657170444795674,0.3486302068861263,70.332187858,57.825203252,41.8831168831
U_C4-A10_SL_4_0_B12,C4-A10,SL,4,0,B12,0.3884483669612949,0.42840241795921646,67.7156177156,60.2497398543,48.6394557823,0.18791271081837638,0.24720320878325716,59.6259625963,50.8333333333,36.7088607595
U_C1-A10_RX_2_0_E2,C1-A10,RX,2,0,E2,0.3394686360200613,0.3662330074957794,69.5238095238,57.8125,45.7013574661,0.42170845145783153,0.4505810221822217,70.5035971223,58.2184517497,40.2640264026
U_C4-A10_RX_1_0_D7,C4-A10,RX,1,0,D7,0.30773556454921097,0.3586060598746598,62.5295508274,56.5708418891,50.5226480836,NA,NA,NA,NA,NA
U_C1-A10_SL_2_0_B12,C1-A10,SL,2,0,B12,0.34068894199771443,0.35561049304301234,72.972972973,55.7291666667,43.231441048,0.3755201136615071,0.40240119797210305,69.6750902527,64.0130861505,59.375
U_C1-A10_RX_2_0_E1,C1-A10,RX,2,0,E1,0.3051841727475044,0.34174522852991107,67.4922600619,56.8449682684,50.4531722054,0.21568004692341586,0.25980633218513743,68.287037037,56.2124248497,41.4556962025
U_C1-A10_RX_3_0_F6,C1-A10,RX,3,0,F6,0.32036123222650975,0.37180346643878726,66.3322185061,56.6929133858,45.1298701299,0.38888682575215894,0.4454108197715007,66.5289256198,58.6419753086,44.4444444444
U_C1-A10_RX_3_0_G1,C1-A10,RX,3,0,G1,0.3526093054707802,0.39239001164619064,68.4684684685,57.3770491803,48.6486486486,NA,NA,NA,NA,NA
U_C1-A10_SL_3_0_C4,C1-A10,SL,3,0,C4,0.38584139452278443,0.43557803312886856,67.1038251366,55.285313377,44.089456869,0.376951937017026,0.43096129791033677,66.4437012263,53.0898876404,37.5394321767
U_C1-A10_SL_3_0_C5,C1-A10,SL,3,0,C5,0.35696502686800347,0.39409799672736956,70.7602339181,54.1984732824,40.0,0.32498346815711904,0.3664861834615404,67.1156004489,53.0303030303,37.5394321767
U_C1-A10_SL_3_0_C2,C1-A10,SL,3,0,C2,0.27348219807942037,0.3472136434882882,59.6548004315,52.0661157025,45.2830188679,0.4173489117073834,0.47806933014980024,62.596259626,50.597976081,36.9565217391
U_C1-A10_SL_3_0_C3,C1-A10,SL,3,0,C3,0.3389303278002776,0.3826498016468443,67.4193548387,55.8685446009,38.7692307692,NA,NA,NA,NA,NA
H_C4-A10_RX_4_3_C12,C4-A10,RX,4,3,C12,0.2658350215748775,0.31931120261358,61.4666666667,58.6247086247,48.8372093023,0.27785557651625375,0.3405811646637547,62.9107981221,56.9072164948,43.5215946844
H_C4-A10_RX_4_3_G03,C4-A10,RX,4,3,G03,NA,NA,NA,NA,NA,0.2924827186407187,0.3530003575065567,62.2598870056,56.0710760118,43.9102564103
U_C4-A10_SL_2_0_B12,C4-A10,SL,2,0,B12,NA,NA,NA,NA,NA,0.35273437204223257,0.41174209005687556,67.8832116788,62.9213483146,51.0791366906
H_C1-A10_SL_2_2_C12,C1-A10,SL,2,2,C12,0.47000259961333096,0.5025858045896483,68.509984639,58.1646423752,48.2142857143,0.3138756727889977,0.37522164985872736,64.0350877193,61.648177496,52.2388059701
H_C1-A10_RX_4_3_A02,C1-A10,RX,4,3,A02,0.2897599395267655,0.3508637140851656,64.6976090014,52.0661157025,37.7510040161,0.2989373722939431,0.3415429564627256,65.6565656566,58.1655480984,51.0948905109
H_C4-A10_SL_4_1_G08,C4-A10,SL,4,1,G08,0.2701232010453066,0.3050211317879443,66.2835249042,51.9867549669,36.7816091954,0.44968604557479674,0.4835096181425226,75.6097560976,56.6433566434,42.8571428571
U_C1-A10_SL_4_0_E8,C1-A10,SL,4,0,E8,NA,NA,NA,NA,NA,0.29601951312968894,0.33773895101264345,69.0058479532,53.2619279455,39.0163934426
H_C4-A10_RX_3_1_B07,C4-A10,RX,3,1,B07,0.24827943607622935,0.29911009403476857,62.077294686,56.8443051202,48.5915492958,0.3008870471801839,0.35937510001672157,62.2222222222,56.1224489796,42.4698795181
H_C4-A10_SL_3_1_B07,C4-A10,SL,3,1,B07,0.2922308966319361,0.33194229656960766,66.0436137072,60.632183908,48.5981308411,0.36980602069656554,0.41314226538169074,66.1538461538,67.1462829736,50.0
U_C4-A10_RX_1_0_C12,C4-A10,RX,1,0,C12,0.31941161339360025,0.3720317057981036,66.4285714286,53.3668341709,45.2631578947,0.3444502032872004,0.40456971567542926,64.0836408364,58.4147665581,42.7083333333
U_C1-A10_SL_3_0_D12,C1-A10,SL,3,0,D12,0.26149003845646074,0.31385167008384607,63.6029411765,52.7083333333,44.8028673835,0.37174833580178646,0.4052469391578135,69.5555555556,67.1065989848,59.477124183
U_C4-A10_RX_1_0_C10,C4-A10,RX,1,0,C10,NA,NA,NA,NA,NA,0.39330588810451816,0.42867021997812593,70.2205882353,57.9804560261,44.9826989619
U_C4-A10_RX_1_0_C11,C4-A10,RX,1,0,C11,0.43776973761451654,0.5008507158260139,61.2709832134,73.4717416378,67.6258992806,0.40664798875425834,0.47187420587973994,62.5295508274,55.7926829268,44.966442953
H_C4-A10_RX_4_3_H09,C4-A10,RX,4,3,H09,0.30117951476535126,0.3771194580717465,60.2259887006,55.5226824458,45.2459016393,0.21779847180408607,0.2776225313724934,57.5141242938,53.7181996086,41.9871794872
H_C4-A10_RX_2_2_D10,C4-A10,RX,2,2,D10,0.3394369401798304,0.39040903791729753,64.6713615023,53.5282258065,45.6747404844,0.27612551899737753,0.32396627564265995,65.1354534747,53.4396809571,40.0662251656
H_C4-A10_SL_4_1_C12,C4-A10,SL,4,1,C12,0.32410763663823977,0.3661511893663768,66.6666666667,62.9976580796,52.7131782946,0.31390856062016465,0.3765945592597683,63.8787878788,59.4218415418,45.3020134228
H_C4-A10_RX_3_1_D10,C4-A10,RX,3,1,D10,0.2643529459290819,0.3143152718472673,62.4548736462,59.1923485654,48.4210526316,0.2970531481364176,0.3574185363567323,61.6931216931,56.5581395349,42.7710843373
H_C1-A10_SL_4_2_D04,C1-A10,SL,4,2,D04,0.333884294445313,0.37656469235603623,69.825708061,54.5708955224,40.0630914826,0.3161477966629451,0.3698999146775683,65.5290102389,55.2093476144,40.866873065
H_C4-A10_SL_2_2_G04,C4-A10,SL,2,2,G04,0.17419693215893864,0.23691538241424806,53.9682539683,58.1066376496,52.5362318841,0.19805691944676426,0.26547491159105235,56.8060021436,50.6750675068,39.7660818713
U_C1-A10_SL_4_0_E6,C1-A10,SL,4,0,E6,0.33183097073093076,0.3773314984809401,66.9871794872,54.2961608775,38.5321100917,0.29623596627024784,0.3375682783994991,68.9895470383,53.488372093,39.1304347826
H_C1-A10_SL_4_2_G03,C1-A10,SL,4,2,G03,NA,NA,NA,NA,NA,0.44628487834079544,0.515663939619724,62.1315192744,68.3157894737,67.7852348993
U_C4-A10_RX_3_0_B8,C4-A10,RX,3,0,B8,0.39580556301497694,0.4502635422973449,65.3153153153,53.6468330134,39.8671096346,0.3651835366564202,0.4221535551701147,65.9340659341,54.3005181347,39.7887323944
U_C4-A10_RX_3_0_B5,C4-A10,RX,3,0,B5,0.3392571631328477,0.38850005678454275,65.2412280702,52.5280898876,45.6310679612,0.2875946559763978,0.33562493081452566,65.3637350706,53.1738730451,38.6503067485
U_C4-A10_RX_3_0_B4,C4-A10,RX,3,0,B4,0.46977877570662585,0.5248119536543904,65.1265126513,56.4500484966,38.5620915033,0.4456503792999761,0.4940602559031089,64.4927536232,54.6305931322,38.2838283828
U_C4-A10_RX_3_0_B7,C4-A10,RX,3,0,B7,0.2371808495997875,0.2865861965194227,60.6948968512,57.6593720266,50.9677419355,0.2491187133417206,0.3024928685686278,63.7575757576,53.9256198347,42.1602787456
U_C4-A10_RX_3_0_B6,C4-A10,RX,3,0,B6,0.3398316205993778,0.39002274531592973,64.6170442287,52.7624309392,44.9044585987,0.26624579598095915,0.3165545469019501,65.1927437642,52.4714828897,38.9776357827
U_C4-A10_RX_3_0_B1,C4-A10,RX,3,0,B1,0.2687373105872468,0.3189448958527813,62.0765027322,57.3065902579,46.96485623,0.28426017916837976,0.3492261948204513,62.5,56.0557341908,44.4055944056
U_C4-A10_RX_3_0_B3,C4-A10,RX,3,0,B3,0.41512462126738797,0.45538352299460505,67.5324675325,52.8545119705,34.8909657321,0.3618960350179282,0.4006134143522,67.027677497,58.0404685836,34.4155844156
H_C1-A10_SL_4_2_G08,C1-A10,SL,4,2,G08,0.369120151974826,0.4107620430357025,68.7229437229,60.2129719264,52.6984126984,0.2675086655374669,0.3372519867401242,62.3477297896,62.8371628372,60.0
U_C4-A10_SL_1_0_B2,C4-A10,SL,1,0,B2,0.2942827041113334,0.3514867300834768,63.4657836645,59.5682041217,45.6310679612,0.3046268166766037,0.35953367303600986,61.4401858304,52.4509803922,38.3116883117
H_C1-A10_RX_3_1_F04,C1-A10,RX,3,1,F04,0.4514466243477173,0.4977575749742041,68.2641107561,56.8518518519,48.5893416928,0.456145164825029,0.4934097988596727,67.5958188153,63.6268343816,55.2188552189
U_C4-A10_RX_1_0_C2,C4-A10,RX,1,0,C2,0.4297355109259001,0.49020828627333635,64.4518272425,56.0928433269,40.6451612903,0.3627420381838886,0.4371207240960161,65.8024691358,56.399132321,42.29390681
H_C1-A10_RX_3_1_F06,C1-A10,RX,3,1,F06,0.3266030642518626,0.3813498634207623,64.6496815287,54.5454545455,43.9252336449,0.2766423353898492,0.3253165119822312,64.9425287356,53.6062378168,39.4822006472
U_C4-A10_RX_1_0_C5,C4-A10,RX,1,0,C5,0.5211969076811217,0.5543428046868841,69.2857142857,54.5643153527,35.4385964912,NA,NA,NA,NA,NA
U_C4-A10_RX_1_0_C6,C4-A10,RX,1,0,C6,0.27591597868699735,0.3170124575527809,63.7785800241,58.7301587302,49.3006993007,0.36259494652142005,0.3980828767988473,67.4388674389,55.8888888889,41.4545454545
H_C4-A10_SL_1_1_B04,C4-A10,SL,1,1,B04,0.2715886805773897,0.3367808030626326,58.3673469388,57.8883495146,46.7741935484,0.23460465225209573,0.29112885229373636,58.389261745,62.4223602484,58.3606557377
U_C4-A10_RX_1_0_C8,C4-A10,RX,1,0,C8,0.30291421847413014,0.3413384084793703,68.3333333333,57.232049948,45.9649122807,NA,NA,NA,NA,NA
U_C4-A10_RX_1_0_C9,C4-A10,RX,1,0,C9,NA,NA,NA,NA,NA,0.5152272275781433,0.543180072377491,68.6641697878,98.6267166042,99.6254681648
U_C4-A10_SL_1_0_B8,C4-A10,SL,1,0,B8,0.4735364035964745,0.5277263259494177,63.3007600434,51.5426497278,37.1428571429,0.3765602502636263,0.45290827136701334,61.4303959132,54.6265328874,42.8070175439
H_C4-A10_SL_1_1_B08,C4-A10,SL,1,1,B08,NA,NA,NA,NA,NA,0.3821422792491205,0.4226328203263315,68.9950980392,57.7253218884,42.1602787456
U_C1-A10_RX_2_0_E10,C1-A10,RX,2,0,E10,0.4585515851742483,0.49783306484818163,68.4486373166,50.6584723442,38.5802469136,0.47978245690848714,0.5078810847987147,73.6904761905,57.0256410256,40.8026755853
H_C1-A10_RX_3_1_F08,C1-A10,RX,3,1,F08,0.20500297481184954,0.25853722316060296,58.547008547,53.5549399815,48.2649842271,0.2844436422916196,0.35180048640793643,58.5616438356,51.1450381679,38.3435582822
U_C1-A10_RX_2_0_E12,C1-A10,RX,2,0,E12,0.5516409425641104,0.5896681438067177,70.1923076923,55.5657773689,47.5155279503,0.5418106841870961,0.5731920153343902,71.1904761905,59.4479830149,41.1371237458
H_C4-A10_SL_3_3_C10,C4-A10,SL,3,3,C10,0.32973010618888,0.40959682793336255,56.6395663957,58.4463625154,48.0,0.27255230869977154,0.34597629231370197,57.2170301142,51.4756944444,39.8826979472
U_C1-A10_RX_3_0_H5,C1-A10,RX,3,0,H5,NA,NA,NA,NA,NA,0.2787585755086124,0.3269041304578345,65.3429602888,52.7327935223,40.5405405405
H_C4-A10_SL_4_1_D06,C4-A10,SL,4,1,D06,0.3089891326309575,0.3854367767057269,56.258790436,59.6649484536,48.5477178423,0.2199133193332006,0.290606849705806,56.1111111111,53.2118887824,38.2978723404
U_C1-A10_SL_4_0_D10,C1-A10,SL,4,0,D10,NA,NA,NA,NA,NA,0.3126274288003278,0.35341059111755957,68.3333333333,53.9870689655,40.5204460967
H_C4-A10_SL_3_2_A12,C4-A10,SL,3,2,A12,0.4114715596142182,0.45797403143357995,66.1417322835,59.4438006952,50.7692307692,0.3724933587175917,0.4171512449788215,68.9895470383,56.7975830816,42.3841059603
H_C4-A10_SL_3_2_A10,C4-A10,SL,3,2,A10,0.3558604849884112,0.3940081689390824,68.4478371501,61.6454229432,50.936329588,NA,NA,NA,NA,NA
H_C4-A10_RX_3_2_C07,C4-A10,RX,3,2,C07,0.2655485051448429,0.3284659956643495,58.8522588523,58.2154515778,49.2753623188,0.2952896541782926,0.3548826820568709,60.5015673981,55.9523809524,42.042042042
U_C1-A10_RX_2_0_A12,C1-A10,RX,2,0,A12,0.3119039820447413,0.3505422211952585,67.5078864353,56.970260223,46.9135802469,0.2755833952453623,0.33440133390938215,65.899122807,55.2407932011,41.975308642
U_C1-A10_SL_4_0_G7,C1-A10,SL,4,0,G7,0.35926421347163123,0.39802082920813475,68.583599574,61.13243762,51.25,0.30387777181890907,0.36894956503154025,62.5279642058,57.1014492754,47.6038338658
U_C1-A10_SL_4_0_G5,C1-A10,SL,4,0,G5,0.31863118230687687,0.36608918487860814,66.6666666667,53.8904899135,38.5852090032,0.30179655383427195,0.34450290074327566,69.014084507,52.9931305201,38.8157894737
U_C4-A10_SL_4_0_C12,C4-A10,SL,4,0,C12,0.38188181374630936,0.44132453655235093,65.3846153846,56.157635468,42.0168067227,0.3725607038012816,0.4303587785668607,65.0793650794,56.25,46.9696969697
U_C1-A10_SL_2_0_B11,C1-A10,SL,2,0,B11,0.32662975627685537,0.37591481642977526,67.1775223499,57.6749435666,44.776119403,0.30943276137140796,0.36421265523186785,62.6398210291,54.0360873694,32.8125
U_C1-A10_SL_4_0_G9,C1-A10,SL,4,0,G9,0.24946689440667313,0.319313725422705,56.4024390244,53.9485359361,47.4626865672,0.3286696965286712,0.37723866707342474,63.4864546525,54.8717948718,36.4238410596
U_C4-A10_RX_1_0_A6,C4-A10,RX,1,0,A6,0.38510893721749145,0.4438861861860943,65.162037037,54.9253731343,41.4715719064,NA,NA,NA,NA,NA
U_C4-A10_RX_1_0_D11,C4-A10,RX,1,0,D11,0.41659620447613865,0.44163315830215566,69.1256830601,51.1312217195,35.1351351351,0.39226855175792835,0.4321201331528989,68.897149938,55.2854122622,41.5282392027
U_C4-A10_RX_1_0_D10,C4-A10,RX,1,0,D10,0.2812229070921786,0.3270562887916007,64.2946317104,58.5635359116,46.8634686347,0.3580197506074859,0.39478076151014607,70.4761904762,59.4017094017,49.5412844037
H_C4-A10_SL_2_3_C09,C4-A10,SL,2,3,C09,0.2692741065079842,0.31738388459455547,61.0062893082,57.525083612,49.6296296296,NA,NA,NA,NA,NA
U_C4-A10_RX_1_0_A7,C4-A10,RX,1,0,A7,0.2818354329131704,0.3310936755693214,60.790960452,58.9123867069,46.357615894,0.25728993906012654,0.3241106448338943,62.5603864734,57.7087794433,42.0338983051
U_C1-A10_RX_1_0_A10,C1-A10,RX,1,0,A10,0.3140058046424395,0.37486298117455563,66.4576802508,52.4017467249,40.243902439,NA,NA,NA,NA,NA
H_C4-A10_SL_2_3_C06,C4-A10,SL,2,3,C06,0.23060121268355,0.2892160506889006,56.976744186,57.6592082616,50.5813953488,0.24220448609516593,0.31973412094402964,54.1198501873,56.1759729272,51.0989010989
H_C4-A10_SL_2_3_C04,C4-A10,SL,2,3,C04,0.29489681553700486,0.3215183672837471,69.8765432099,58.7336244541,47.8102189781,0.265229487819164,0.2880124302012451,71.4124293785,59.2184368737,40.4388714734
U_C4-A10_RX_3_0_D1,C4-A10,RX,3,0,D1,0.31780697178082873,0.36451952941839433,64.0939597315,55.3935860058,40.2597402597,NA,NA,NA,NA,NA
