Plate information ,,,,,,,,,,,,
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,,,,,
B01,157,0.05375,,,,,,,,,,
B01,,,,,,,,,,,,
B01,,,,,,,,,,,,
B01,,,,,,,,,,,,
B02,99795,2.15525,,,,,,,,,,
B02,,,,,,,,,,,,
B02,,,,,,,,,,,,
B02,,,,,,,,,,,,
B03,5431,1.86125,,,,,,,,,,
B03,,,,,,,,,,,,
B03,,,,,,,,,,,,
B03,,,,,,,,,,,,
B04,129205,2.321,,,,,,,,,,
B04,,,,,,,,,,,,
B04,,,,,,,,,,,,
B04,,,,,,,,,,,,
B05,6296,2.19925,,,,,,,,,,
B05,,,,,,,,,,,,
B05,,,,,,,,,,,,
B05,,,,,,,,,,,,
B06,114046,2.31475,,,,,,,,,,
B06,,,,,,,,,,,,
B06,,,,,,,,,,,,
B06,,,,,,,,,,,,
B07,6611,2.03275,,,,,,,,,,
B07,,,,,,,,,,,,
B07,,,,,,,,,,,,
B07,,,,,,,,,,,,
B08,6138,0.205,,,,,,,,,,
B08,,,,,,,,,,,,
B08,,,,,,,,,,,,
B08,,,,,,,,,,,,
B09,5051,0.19025,,,,,,,,,,
B09,,,,,,,,,,,,
B09,,,,,,,,,,,,
B09,,,,,,,,,,,,
B10,115,0.054,,,,,,,,,,
B10,,,,,,,,,,,,
B10,,,,,,,,,,,,
B10,,,,,,,,,,,,
B11,107,0.053,,,,,,,,,,
B11,,,,,,,,,,,,
B11,,,,,,,,,,,,
B11,,,,,,,,,,,,
B12,97,0.05625,,,,,,,,,,
B12,,,,,,,,,,,,
B12,,,,,,,,,,,,
B12,,,,,,,,,,,,
C01,154,0.05525,,,,,,,,,,
C01,,,,,,,,,,,,
C01,,,,,,,,,,,,
C01,,,,,,,,,,,,
C02,670,0.076,,,,,,,,,,
C02,,,,,,,,,,,,
C02,,,,,,,,,,,,
C02,,,,,,,,,,,,
C03,136,0.16175,,,,,,,,,,
C03,,,,,,,,,,,,
C03,,,,,,,,,,,,
C03,,,,,,,,,,,,
C04,351,0.05325,,,,,,,,,,
C04,,,,,,,,,,,,
C04,,,,,,,,,,,,
C04,,,,,,,,,,,,
C05,110,0.05825,,,,,,,,,,
C05,,,,,,,,,,,,
C05,,,,,,,,,,,,
C05,,,,,,,,,,,,
C06,298,0.0615,,,,,,,,,,
C06,,,,,,,,,,,,
C06,,,,,,,,,,,,
C06,,,,,,,,,,,,
C07,131,0.08225,,,,,,,,,,
C07,,,,,,,,,,,,
C07,,,,,,,,,,,,
C07,,,,,,,,,,,,
C08,194,0.066,,,,,,,,,,
C08,,,,,,,,,,,,
C08,,,,,,,,,,,,
C08,,,,,,,,,,,,
C09,192,0.06975,,,,,,,,,,
C09,,,,,,,,,,,,
C09,,,,,,,,,,,,
C09,,,,,,,,,,,,
C10,136,0.056,,,,,,,,,,
C10,,,,,,,,,,,,
C10,,,,,,,,,,,,
C10,,,,,,,,,,,,
C11,138,0.055,,,,,,,,,,
C11,,,,,,,,,,,,
C11,,,,,,,,,,,,
C11,,,,,,,,,,,,
C12,122,0.0555,,,,,,,,,,
C12,,,,,,,,,,,,
C12,,,,,,,,,,,,
C12,,,,,,,,,,,,
D01,213010,0.83575,,,,,,,,,,
D01,,,,,,,,,,,,
D01,,,,,,,,,,,,
D01,,,,,,,,,,,,
D02,1545,0.09975,,,,,,,,,,
D02,,,,,,,,,,,,
D02,,,,,,,,,,,,
D02,,,,,,,,,,,,
D03,233427,0.971,,,,,,,,,,
D03,,,,,,,,,,,,
D03,,,,,,,,,,,,
D03,,,,,,,,,,,,
D04,1396,0.09075,,,,,,,,,,
D04,,,,,,,,,,,,
D04,,,,,,,,,,,,
D04,,,,,,,,,,,,
D05,202855,0.7605,,,,,,,,,,
D05,,,,,,,,,,,,
D05,,,,,,,,,,,,
D05,,,,,,,,,,,,
D06,1400,0.09625,,,,,,,,,,
D06,,,,,,,,,,,,
D06,,,,,,,,,,,,
D06,,,,,,,,,,,,
D07,168,0.0575,,,,,,,,,,
D07,,,,,,,,,,,,
D07,,,,,,,,,,,,
D07,,,,,,,,,,,,
D08,142,0.056,,,,,,,,,,
D08,,,,,,,,,,,,
D08,,,,,,,,,,,,
D08,,,,,,,,,,,,
D09,128,0.05575,,,,,,,,,,
D09,,,,,,,,,,,,
D09,,,,,,,,,,,,
D09,,,,,,,,,,,,
D10,112,0.055,,,,,,,,,,
D10,,,,,,,,,,,,
D10,,,,,,,,,,,,
D10,,,,,,,,,,,,
D11,151,0.05475,,,,,,,,,,
D11,,,,,,,,,,,,
D11,,,,,,,,,,,,
D11,,,,,,,,,,,,
D12,146,0.05425,,,,,,,,,,
D12,,,,,,,,,,,,
D12,,,,,,,,,,,,
D12,,,,,,,,,,,,
E01,157,0.05075,,,,,,,,,,
E01,,,,,,,,,,,,
E01,,,,,,,,,,,,
E01,,,,,,,,,,,,
E02,153,0.0525,,,,,,,,,,
E02,,,,,,,,,,,,
E02,,,,,,,,,,,,
E02,,,,,,,,,,,,
E03,173,0.08475,,,,,,,,,,
E03,,,,,,,,,,,,
E03,,,,,,,,,,,,
E03,,,,,,,,,,,,
E04,146,0.0665,,,,,,,,,,
E04,,,,,,,,,,,,
E04,,,,,,,,,,,,
E04,,,,,,,,,,,,
E05,155,0.05475,,,,,,,,,,
E05,,,,,,,,,,,,
E05,,,,,,,,,,,,
E05,,,,,,,,,,,,
E06,122,0.06325,,,,,,,,,,
E06,,,,,,,,,,,,
E06,,,,,,,,,,,,
E06,,,,,,,,,,,,
E07,140,0.0745,,,,,,,,,,
E07,,,,,,,,,,,,
E07,,,,,,,,,,,,
E07,,,,,,,,,,,,
E08,130,0.05525,,,,,,,,,,
E08,,,,,,,,,,,,
E08,,,,,,,,,,,,
E08,,,,,,,,,,,,
E09,116,0.05475,,,,,,,,,,
E09,,,,,,,,,,,,
E09,,,,,,,,,,,,
E09,,,,,,,,,,,,
E10,107,0.05525,,,,,,,,,,
E10,,,,,,,,,,,,
E10,,,,,,,,,,,,
E10,,,,,,,,,,,,
E11,136,0.056,,,,,,,,,,
E11,,,,,,,,,,,,
E11,,,,,,,,,,,,
E11,,,,,,,,,,,,
E12,114,0.0545,,,,,,,,,,
E12,,,,,,,,,,,,
E12,,,,,,,,,,,,
E12,,,,,,,,,,,,
F01,151,0.05475,,,,,,,,,,
F01,,,,,,,,,,,,
F01,,,,,,,,,,,,
F01,,,,,,,,,,,,
F02,123,0.05525,,,,,,,,,,
F02,,,,,,,,,,,,
F02,,,,,,,,,,,,
F02,,,,,,,,,,,,
F03,126,0.05525,,,,,,,,,,
F03,,,,,,,,,,,,
F03,,,,,,,,,,,,
F03,,,,,,,,,,,,
F04,135,0.05525,,,,,,,,,,
F04,,,,,,,,,,,,
F04,,,,,,,,,,,,
F04,,,,,,,,,,,,
F05,128,0.05475,,,,,,,,,,
F05,,,,,,,,,,,,
F05,,,,,,,,,,,,
F05,,,,,,,,,,,,
F06,136,0.05425,,,,,,,,,,
F06,,,,,,,,,,,,
F06,,,,,,,,,,,,
F06,,,,,,,,,,,,
F07,133,0.05775,,,,,,,,,,
F07,,,,,,,,,,,,
F07,,,,,,,,,,,,
F07,,,,,,,,,,,,
F08,138,0.05575,,,,,,,,,,
F08,,,,,,,,,,,,
F08,,,,,,,,,,,,
F08,,,,,,,,,,,,
F09,97,0.0555,,,,,,,,,,
F09,,,,,,,,,,,,
F09,,,,,,,,,,,,
F09,,,,,,,,,,,,
F10,119,0.05625,,,,,,,,,,
F10,,,,,,,,,,,,
F10,,,,,,,,,,,,
F10,,,,,,,,,,,,
F11,97,0.05475,,,,,,,,,,
F11,,,,,,,,,,,,
F11,,,,,,,,,,,,
F11,,,,,,,,,,,,
F12,123,0.05775,,,,,,,,,,
F12,,,,,,,,,,,,
F12,,,,,,,,,,,,
F12,,,,,,,,,,,,
G01,111,0.055,,,,,,,,,,
G01,,,,,,,,,,,,
G01,,,,,,,,,,,,
G01,,,,,,,,,,,,
G02,149,0.056,,,,,,,,,,
G02,,,,,,,,,,,,
G02,,,,,,,,,,,,
G02,,,,,,,,,,,,
G03,124,0.05425,,,,,,,,,,
G03,,,,,,,,,,,,
G03,,,,,,,,,,,,
G03,,,,,,,,,,,,
G04,102,0.055,,,,,,,,,,
G04,,,,,,,,,,,,
G04,,,,,,,,,,,,
G04,,,,,,,,,,,,
G05,119,0.054,,,,,,,,,,
G05,,,,,,,,,,,,
G05,,,,,,,,,,,,
G05,,,,,,,,,,,,
G06,118,0.055,,,,,,,,,,
G06,,,,,,,,,,,,
G06,,,,,,,,,,,,
G06,,,,,,,,,,,,
G07,106,0.0545,,,,,,,,,,
G07,,,,,,,,,,,,
G07,,,,,,,,,,,,
G07,,,,,,,,,,,,
G08,107,0.0545,,,,,,,,,,
G08,,,,,,,,,,,,
G08,,,,,,,,,,,,
G08,,,,,,,,,,,,
G09,126,0.05475,,,,,,,,,,
G09,,,,,,,,,,,,
G09,,,,,,,,,,,,
G09,,,,,,,,,,,,
G10,112,0.05625,,,,,,,,,,
G10,,,,,,,,,,,,
G10,,,,,,,,,,,,
G10,,,,,,,,,,,,
G11,110,0.053,,,,,,,,,,
G11,,,,,,,,,,,,
G11,,,,,,,,,,,,
G11,,,,,,,,,,,,
G12,97,0.05525,,,,,,,,,,
G12,,,,,,,,,,,,
G12,,,,,,,,,,,,
G12,,,,,,,,,,,,
H01,152,0.0525,,,,,,,,,,
H01,,,,,,,,,,,,
H01,,,,,,,,,,,,
H01,,,,,,,,,,,,
H02,140,0.053,,,,,,,,,,
H02,,,,,,,,,,,,
H02,,,,,,,,,,,,
H02,,,,,,,,,,,,
H03,140,0.054,,,,,,,,,,
H03,,,,,,,,,,,,
H03,,,,,,,,,,,,
H03,,,,,,,,,,,,
H04,102,0.05325,,,,,,,,,,
H04,,,,,,,,,,,,
H04,,,,,,,,,,,,
H04,,,,,,,,,,,,
H05,127,0.0535,,,,,,,,,,
H05,,,,,,,,,,,,
H05,,,,,,,,,,,,
H05,,,,,,,,,,,,
H06,133,0.0515,,,,,,,,,,
H06,,,,,,,,,,,,
H06,,,,,,,,,,,,
H06,,,,,,,,,,,,
H07,137,0.0535,,,,,,,,,,
H07,,,,,,,,,,,,
H07,,,,,,,,,,,,
H07,,,,,,,,,,,,
H08,125,0.05375,,,,,,,,,,
H08,,,,,,,,,,,,
H08,,,,,,,,,,,,
H08,,,,,,,,,,,,
H09,120,0.05325,,,,,,,,,,
H09,,,,,,,,,,,,
H09,,,,,,,,,,,,
H09,,,,,,,,,,,,
H10,129,0.056,,,,,,,,,,
H10,,,,,,,,,,,,
H10,,,,,,,,,,,,
H10,,,,,,,,,,,,
H11,139,0.05575,,,,,,,,,,
H11,,,,,,,,,,,,
H11,,,,,,,,,,,,
H11,,,,,,,,,,,,
H12,143,0.05425,,,,,,,,,,
H12,,,,,,,,,,,,
H12,,,,,,,,,,,,
H12,,,,,,,,,,,,
,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,
Assay ID: ,,,,8,,,,,,,,
Assay Started: ,,,,13/04/2022 12:16:28 p.m.,,,,,,,,
Assay Finished: ,,,,13/04/2022 12:18:52 p.m.,,,,,,,,
Assay Exported: ,,,,13/04/2022 12:19:33 p.m.,,,,,,,,
Assay Started By: ,,,,N/A,,,,,,,,
Protocol ID: ,,,,100161,,,,,,,,
Protocol Name: ,,,,IMPORTED Mark_Pyo_AbsEm,,,,,,,,
Serial#: ,,,,23000214,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,
Protocol name,,,,IMPORTED Mark_Pyo_AbsEm,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,
Rotated plate,,,,No,,,,,,,,
Soft move,,,,No,,,,,,,,
Protocol notes,,,,Imported from instrument EnSpire SerialNumber: 23000214,,,,,,,,
,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,
Name of the plate type,,,,IMPORTED 1 96 General,,,,,,,,
Number of rows,,,,8,,,,,,,,
Number of columns,,,,12,,,,,,,,
Number of the wells in the plate,,,,96,,,,,,,,
Height of the plate,,,,14.35 mm,,,,,,,,
Diameter of the well,,,,6.5 mm,,,,,,,,
Volume of the well,,,,300 µl,,,,,,,,
,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,
IMPORTED 1 96 General,,,,,,,,,,,,
14.38 mm x------------------------------------------------------ x 113.38 mm,,,,,,,,,,,,
11.24 mm                                                           11.24 mm,,,,,,,,,,,,
,,,,,,,,,,,,
14.38 mm x------------------------------------------------------ x 113.38 mm,,,,,,,,,,,,
74.24 mm                                                           74.24 mm,,,,,,,,,,,,
,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,
Plate,,,,1,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,
,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,
Plate,,,,1,,,,,,,,
 Formula index,,,,Calc 1,,,,,,,,
 Formula name,,,,Average within well,,,,,,,,
 Formula,,,,Average within well where Measurement: C,,,,,,,,
,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,
Export format,,,,ListC,,,,,,,,
Picture,,,,No,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,
Field separator to use,,,,System,,,,,,,,
File name format,,,,D:\mark\2022_AbsEM\Day6\D4_P5_R1.csv,,,,,,,,
Exported data,,,,Well MeasA:Result Calc1:Average within well,,,,,,,,
,,,,,,,,,,,,
Operations:,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,
  Shake,,,,,,,,,,,,
    Duration,,,,3 s,,,,,,,,
    Speed,,,,60,,,,,,,,
    Diameter,,,,3 mm,,,,,,,,
    Shake mode,,,,Linear,,,,,,,,
    Plate location,,,,Inside,,,,,,,,
    First assay/plate repeat affected,,,,1,,,,,,,,
    Last assay/plate repeat affected,,,,1,,,,,,,,
  Measurement,,,,,,,,,,,,
    Meas,,,,A,,,,,,,,
    Tech,,,,Fluorescence,,,,,,,,
  Scan measurement,,,,,,,,,,,,
    Meas,,,,C,,,,,,,,
    Tech,,,,Absorbance,,,,,,,,
    Number of horizontal points (X),,,,2,,,,,,,,
    Number of vertical points (Y),,,,2,,,,,,,,
    Distance between points,,,,0.72 mm,,,,,,,,
    Scan mode,,,,Rectangle,,,,,,,,
,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,
Meas ,,,,A,,,,,,,,
Exc. filter,,,,N/A,,,,,,,,
Using of excitation filter,,,,Top,,,,,,,,
Excitation wavelength,,,,400 nm,,,,,,,,
Emission wavelength,,,,440 nm,,,,,,,,
Measurement height,,,,9.5 mm,,,,,,,,
Number of flashes,,,,40,,,,,,,,
Number of flashes integrated,,,,40,,,,,,,,
Flash power,,,,100%,,,,,,,,
Excitation light,,,,100%,,,,,,,,
Reference excitation light,,,,100%,,,,,,,,
Emission light,,,,100%,,,,,,,,
Reference AD gain,,,,2,,,,,,,,
Reference signal,,,,1547012,,,,,,,,
Last edited,,,,13/04/2022 11:59:00 a.m.,,,,,,,,
Last edited by,,,,Import,,,,,,,,
Factory preset,,,,No,,,,,,,,
,,,,,,,,,,,,
Meas ,,,,C,,,,,,,,
Exc. filter,,,,N/A,,,,,,,,
Excitation wavelength,,,,400 nm,,,,,,,,
Measurement height,,,,7.5 mm,,,,,,,,
Number of flashes,,,,40,,,,,,,,
Number of flashes integrated,,,,40,,,,,,,,
Flash power,,,,100%,,,,,,,,
Excitation light,,,,100%,,,,,,,,
Reference excitation light,,,,100%,,,,,,,,
Reference AD gain,,,,1,,,,,,,,
Reference signal,,,,880,,,,,,,,
Last edited,,,,13/04/2022 11:59:11 a.m.,,,,,,,,
Last edited by,,,,Import,,,,,,,,
Factory preset,,,,No,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
Monochromator cutoff 230,,,,140,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X230co Longpass=230nm  Tmin=90%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Monochromator cutoff 360,,,,141,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X360co Longpass=360nm  Tmin=90%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Monochromator cutoff 585,,,,142,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X585co Longpass=585nm  Tmin=75%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Instrument:,,,,,,,,,,,,
Serial number,,,,23000214,,,,,,,,
Nickname,,,,EnSpire,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Exported with EnSpire Workstation version 4.10.3005.1440,,,,,,,,,,,,
