Plate information ,,,,,,,,,,,,
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,,,,,
F05,,,,,,,,,,,,
F05,,,,,,,,,,,,
F06,112,0.05725,,,,,,,,,,
F06,,,,,,,,,,,,
F06,,,,,,,,,,,,
F06,,,,,,,,,,,,
F07,115,0.0565,,,,,,,,,,
F07,,,,,,,,,,,,
F07,,,,,,,,,,,,
F07,,,,,,,,,,,,
F08,95,0.05725,,,,,,,,,,
F08,,,,,,,,,,,,
F08,,,,,,,,,,,,
F08,,,,,,,,,,,,
F09,104,0.0595,,,,,,,,,,
F09,,,,,,,,,,,,
F09,,,,,,,,,,,,
F09,,,,,,,,,,,,
F10,114,0.05575,,,,,,,,,,
F10,,,,,,,,,,,,
F10,,,,,,,,,,,,
F10,,,,,,,,,,,,
F11,105,0.05575,,,,,,,,,,
F11,,,,,,,,,,,,
F11,,,,,,,,,,,,
F11,,,,,,,,,,,,
F12,143,0.056,,,,,,,,,,
F12,,,,,,,,,,,,
F12,,,,,,,,,,,,
F12,,,,,,,,,,,,
G01,127,0.05575,,,,,,,,,,
G01,,,,,,,,,,,,
G01,,,,,,,,,,,,
G01,,,,,,,,,,,,
G02,148,0.0555,,,,,,,,,,
G02,,,,,,,,,,,,
G02,,,,,,,,,,,,
G02,,,,,,,,,,,,
G03,104,0.056,,,,,,,,,,
G03,,,,,,,,,,,,
G03,,,,,,,,,,,,
G03,,,,,,,,,,,,
G04,97,0.0555,,,,,,,,,,
G04,,,,,,,,,,,,
G04,,,,,,,,,,,,
G04,,,,,,,,,,,,
G05,90,0.05725,,,,,,,,,,
G05,,,,,,,,,,,,
G05,,,,,,,,,,,,
G05,,,,,,,,,,,,
G06,89,0.05625,,,,,,,,,,
G06,,,,,,,,,,,,
G06,,,,,,,,,,,,
G06,,,,,,,,,,,,
G07,113,0.05475,,,,,,,,,,
G07,,,,,,,,,,,,
G07,,,,,,,,,,,,
G07,,,,,,,,,,,,
G08,107,0.0555,,,,,,,,,,
G08,,,,,,,,,,,,
G08,,,,,,,,,,,,
G08,,,,,,,,,,,,
G09,134,0.055,,,,,,,,,,
G09,,,,,,,,,,,,
G09,,,,,,,,,,,,
G09,,,,,,,,,,,,
G10,105,0.05625,,,,,,,,,,
G10,,,,,,,,,,,,
G10,,,,,,,,,,,,
G10,,,,,,,,,,,,
G11,135,0.076,,,,,,,,,,
G11,,,,,,,,,,,,
G11,,,,,,,,,,,,
G11,,,,,,,,,,,,
G12,138,0.06975,,,,,,,,,,
G12,,,,,,,,,,,,
G12,,,,,,,,,,,,
G12,,,,,,,,,,,,
H01,132,0.0575,,,,,,,,,,
H01,,,,,,,,,,,,
H01,,,,,,,,,,,,
H01,,,,,,,,,,,,
H02,161,0.0565,,,,,,,,,,
H02,,,,,,,,,,,,
H02,,,,,,,,,,,,
H02,,,,,,,,,,,,
H03,116,0.05825,,,,,,,,,,
H03,,,,,,,,,,,,
H03,,,,,,,,,,,,
H03,,,,,,,,,,,,
H04,90,0.05325,,,,,,,,,,
H04,,,,,,,,,,,,
H04,,,,,,,,,,,,
H04,,,,,,,,,,,,
H05,123,0.0555,,,,,,,,,,
H05,,,,,,,,,,,,
H05,,,,,,,,,,,,
H05,,,,,,,,,,,,
H06,128,0.05825,,,,,,,,,,
H06,,,,,,,,,,,,
H06,,,,,,,,,,,,
H06,,,,,,,,,,,,
H07,82,0.055,,,,,,,,,,
H07,,,,,,,,,,,,
H07,,,,,,,,,,,,
H07,,,,,,,,,,,,
H08,158,0.053,,,,,,,,,,
H08,,,,,,,,,,,,
H08,,,,,,,,,,,,
H08,,,,,,,,,,,,
H09,110,0.055,,,,,,,,,,
H09,,,,,,,,,,,,
H09,,,,,,,,,,,,
H09,,,,,,,,,,,,
H10,91,0.061,,,,,,,,,,
H10,,,,,,,,,,,,
H10,,,,,,,,,,,,
H10,,,,,,,,,,,,
H11,134,0.054,,,,,,,,,,
H11,,,,,,,,,,,,
H11,,,,,,,,,,,,
H11,,,,,,,,,,,,
H12,112,0.0565,,,,,,,,,,
H12,,,,,,,,,,,,
H12,,,,,,,,,,,,
H12,,,,,,,,,,,,
,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,
Assay ID: ,,,,1992,,,,,,,,
Assay Started: ,,,,31/03/2022 12:14:10 p.m.,,,,,,,,
Assay Finished: ,,,,31/03/2022 12:16:34 p.m.,,,,,,,,
Assay Exported: ,,,,31/03/2022 12:17:47 p.m.,,,,,,,,
Assay Started By: ,,,,N/A,,,,,,,,
Protocol ID: ,,,,100161,,,,,,,,
Protocol Name: ,,,,Mark_Pyo_AbsEm,,,,,,,,
Serial#: ,,,,23000214,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,
Protocol name,,,,Mark_Pyo_AbsEm,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,
Rotated plate,,,,No,,,,,,,,
Soft move,,,,No,,,,,,,,
Protocol notes,,,, ,,,,,,,,
,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,
Name of the plate type,,,,96 General,,,,,,,,
Number of rows,,,,8,,,,,,,,
Number of columns,,,,12,,,,,,,,
Number of the wells in the plate,,,,96,,,,,,,,
Height of the plate,,,,14.35 mm,,,,,,,,
Diameter of the well,,,,6.5 mm,,,,,,,,
Volume of the well,,,,300 µl,,,,,,,,
,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,
96 General,,,,,,,,,,,,
14.38 mm x------------------------------------------------------ x 113.38 mm,,,,,,,,,,,,
11.24 mm                                                           11.24 mm,,,,,,,,,,,,
,,,,,,,,,,,,
14.38 mm x------------------------------------------------------ x 113.38 mm,,,,,,,,,,,,
74.24 mm                                                           74.24 mm,,,,,,,,,,,,
,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,
Plate,,,,1,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,
,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,
Plate,,,,1,,,,,,,,
 Formula index,,,,Calc 1,,,,,,,,
 Formula name,,,,Average within well,,,,,,,,
 Formula,,,,Average within well where Measurement: C,,,,,,,,
,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,
Export format,,,,ListC,,,,,,,,
Picture,,,,No,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,
Field separator to use,,,,System,,,,,,,,
File name format,,,,D:\mark\2022_AbsEM\Day5\D4_P5_R1.csv,,,,,,,,
Exported data,,,,Well MeasA:Result Calc1:Average within well,,,,,,,,
,,,,,,,,,,,,
Operations:,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,
  Shake,,,,,,,,,,,,
    Duration,,,,3 s,,,,,,,,
    Speed,,,,60,,,,,,,,
    Diameter,,,,3 mm,,,,,,,,
    Shake mode,,,,Linear,,,,,,,,
    Plate location,,,,Inside,,,,,,,,
    First assay/plate repeat affected,,,,1,,,,,,,,
    Last assay/plate repeat affected,,,,1,,,,,,,,
  Measurement,,,,,,,,,,,,
    Meas,,,,A,,,,,,,,
    Tech,,,,Fluorescence,,,,,,,,
  Scan measurement,,,,,,,,,,,,
    Meas,,,,C,,,,,,,,
    Tech,,,,Absorbance,,,,,,,,
    Number of horizontal points (X),,,,2,,,,,,,,
    Number of vertical points (Y),,,,2,,,,,,,,
    Distance between points,,,,0.72 mm,,,,,,,,
    Scan mode,,,,Rectangle,,,,,,,,
,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,
Meas ,,,,A,,,,,,,,
Exc. filter,,,,N/A,,,,,,,,
Using of excitation filter,,,,Top,,,,,,,,
Excitation wavelength,,,,400 nm,,,,,,,,
Emission wavelength,,,,440 nm,,,,,,,,
Measurement height,,,,9.5 mm,,,,,,,,
Number of flashes,,,,40,,,,,,,,
Number of flashes integrated,,,,40,,,,,,,,
Flash power,,,,100%,,,,,,,,
Excitation light,,,,100%,,,,,,,,
Reference excitation light,,,,100%,,,,,,,,
Emission light,,,,100%,,,,,,,,
Reference AD gain,,,,2,,,,,,,,
Reference signal,,,,1525564,,,,,,,,
Last edited,,,,16/03/2022 1:06:00 p.m.,,,,,,,,
Last edited by,,,,EnSpire,,,,,,,,
Factory preset,,,,No,,,,,,,,
,,,,,,,,,,,,
Meas ,,,,C,,,,,,,,
Exc. filter,,,,N/A,,,,,,,,
Excitation wavelength,,,,400 nm,,,,,,,,
Measurement height,,,,7.5 mm,,,,,,,,
Number of flashes,,,,40,,,,,,,,
Number of flashes integrated,,,,40,,,,,,,,
Flash power,,,,100%,,,,,,,,
Excitation light,,,,100%,,,,,,,,
Reference excitation light,,,,100%,,,,,,,,
Reference AD gain,,,,1,,,,,,,,
Reference signal,,,,966,,,,,,,,
Last edited,,,,16/03/2022 1:08:31 p.m.,,,,,,,,
Last edited by,,,,EnSpire,,,,,,,,
Factory preset,,,,No,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
Monochromator cutoff 230,,,,140,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X230co Longpass=230nm  Tmin=90%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Monochromator cutoff 360,,,,141,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X360co Longpass=360nm  Tmin=90%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Monochromator cutoff 585,,,,142,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X585co Longpass=585nm  Tmin=75%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Instrument:,,,,,,,,,,,,
Serial number,,,,23000214,,,,,,,,
Nickname,,,,EnSpire,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Exported with EnSpire Workstation version 4.10.3005.1440,,,,,,,,,,,,
