Plate information ,,,,,,,,,,,,
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,,,,,
C05,35443,0.11025,,,,,,,,,,
C05,,,,,,,,,,,,
C05,,,,,,,,,,,,
C05,,,,,,,,,,,,
C06,16482,0.1035,,,,,,,,,,
C06,,,,,,,,,,,,
C06,,,,,,,,,,,,
C06,,,,,,,,,,,,
C07,10520,0.095,,,,,,,,,,
C07,,,,,,,,,,,,
C07,,,,,,,,,,,,
C07,,,,,,,,,,,,
C08,14478,0.0995,,,,,,,,,,
C08,,,,,,,,,,,,
C08,,,,,,,,,,,,
C08,,,,,,,,,,,,
C09,17676,0.11325,,,,,,,,,,
C09,,,,,,,,,,,,
C09,,,,,,,,,,,,
C09,,,,,,,,,,,,
C10,17085,0.093,,,,,,,,,,
C10,,,,,,,,,,,,
C10,,,,,,,,,,,,
C10,,,,,,,,,,,,
C11,524,0.05575,,,,,,,,,,
C11,,,,,,,,,,,,
C11,,,,,,,,,,,,
C11,,,,,,,,,,,,
C12,14324,0.114,,,,,,,,,,
C12,,,,,,,,,,,,
C12,,,,,,,,,,,,
C12,,,,,,,,,,,,
D01,197025,0.77025,,,,,,,,,,
D01,,,,,,,,,,,,
D01,,,,,,,,,,,,
D01,,,,,,,,,,,,
D02,1493,0.0945,,,,,,,,,,
D02,,,,,,,,,,,,
D02,,,,,,,,,,,,
D02,,,,,,,,,,,,
D03,211848,0.88675,,,,,,,,,,
D03,,,,,,,,,,,,
D03,,,,,,,,,,,,
D03,,,,,,,,,,,,
D04,1527,0.0905,,,,,,,,,,
D04,,,,,,,,,,,,
D04,,,,,,,,,,,,
D04,,,,,,,,,,,,
D05,206233,0.832,,,,,,,,,,
D05,,,,,,,,,,,,
D05,,,,,,,,,,,,
D05,,,,,,,,,,,,
D06,1882,0.12025,,,,,,,,,,
D06,,,,,,,,,,,,
D06,,,,,,,,,,,,
D06,,,,,,,,,,,,
D07,530,0.0625,,,,,,,,,,
D07,,,,,,,,,,,,
D07,,,,,,,,,,,,
D07,,,,,,,,,,,,
D08,501,0.06825,,,,,,,,,,
D08,,,,,,,,,,,,
D08,,,,,,,,,,,,
D08,,,,,,,,,,,,
D09,573,0.0615,,,,,,,,,,
D09,,,,,,,,,,,,
D09,,,,,,,,,,,,
D09,,,,,,,,,,,,
D10,1279,0.12475,,,,,,,,,,
D10,,,,,,,,,,,,
D10,,,,,,,,,,,,
D10,,,,,,,,,,,,
D11,525,0.07,,,,,,,,,,
D11,,,,,,,,,,,,
D11,,,,,,,,,,,,
D11,,,,,,,,,,,,
D12,623,0.0875,,,,,,,,,,
D12,,,,,,,,,,,,
D12,,,,,,,,,,,,
D12,,,,,,,,,,,,
E01,581,0.06525,,,,,,,,,,
E01,,,,,,,,,,,,
E01,,,,,,,,,,,,
E01,,,,,,,,,,,,
E02,91023,0.19875,,,,,,,,,,
E02,,,,,,,,,,,,
E02,,,,,,,,,,,,
E02,,,,,,,,,,,,
E03,154270,0.37875,,,,,,,,,,
E03,,,,,,,,,,,,
E03,,,,,,,,,,,,
E03,,,,,,,,,,,,
E04,514,0.0585,,,,,,,,,,
E04,,,,,,,,,,,,
E04,,,,,,,,,,,,
E04,,,,,,,,,,,,
E05,221,0.05625,,,,,,,,,,
E05,,,,,,,,,,,,
E05,,,,,,,,,,,,
E05,,,,,,,,,,,,
E06,233,0.0615,,,,,,,,,,
E06,,,,,,,,,,,,
E06,,,,,,,,,,,,
E06,,,,,,,,,,,,
E07,241,0.063,,,,,,,,,,
E07,,,,,,,,,,,,
E07,,,,,,,,,,,,
E07,,,,,,,,,,,,
E08,242,0.06175,,,,,,,,,,
E08,,,,,,,,,,,,
E08,,,,,,,,,,,,
E08,,,,,,,,,,,,
E09,237,0.0685,,,,,,,,,,
E09,,,,,,,,,,,,
E09,,,,,,,,,,,,
E09,,,,,,,,,,,,
E10,219,0.05875,,,,,,,,,,
E10,,,,,,,,,,,,
E10,,,,,,,,,,,,
E10,,,,,,,,,,,,
E11,236,0.0605,,,,,,,,,,
E11,,,,,,,,,,,,
E11,,,,,,,,,,,,
E11,,,,,,,,,,,,
E12,261,0.09625,,,,,,,,,,
E12,,,,,,,,,,,,
E12,,,,,,,,,,,,
E12,,,,,,,,,,,,
F01,164,0.094,,,,,,,,,,
F01,,,,,,,,,,,,
F01,,,,,,,,,,,,
F01,,,,,,,,,,,,
F02,115,0.08025,,,,,,,,,,
F02,,,,,,,,,,,,
F02,,,,,,,,,,,,
F02,,,,,,,,,,,,
F03,138,0.076,,,,,,,,,,
F03,,,,,,,,,,,,
F03,,,,,,,,,,,,
F03,,,,,,,,,,,,
F04,141,0.0705,,,,,,,,,,
F04,,,,,,,,,,,,
F04,,,,,,,,,,,,
F04,,,,,,,,,,,,
F05,146,0.07425,,,,,,,,,,
F05,,,,,,,,,,,,
F05,,,,,,,,,,,,
F05,,,,,,,,,,,,
F06,189,0.07225,,,,,,,,,,
F06,,,,,,,,,,,,
F06,,,,,,,,,,,,
F06,,,,,,,,,,,,
F07,132,0.087,,,,,,,,,,
F07,,,,,,,,,,,,
F07,,,,,,,,,,,,
F07,,,,,,,,,,,,
F08,149,0.07575,,,,,,,,,,
F08,,,,,,,,,,,,
F08,,,,,,,,,,,,
F08,,,,,,,,,,,,
F09,110,0.08275,,,,,,,,,,
F09,,,,,,,,,,,,
F09,,,,,,,,,,,,
F09,,,,,,,,,,,,
F10,132,0.07625,,,,,,,,,,
F10,,,,,,,,,,,,
F10,,,,,,,,,,,,
F10,,,,,,,,,,,,
F11,141,0.07475,,,,,,,,,,
F11,,,,,,,,,,,,
F11,,,,,,,,,,,,
F11,,,,,,,,,,,,
F12,147,0.07225,,,,,,,,,,
F12,,,,,,,,,,,,
F12,,,,,,,,,,,,
F12,,,,,,,,,,,,
G01,95,0.05075,,,,,,,,,,
G01,,,,,,,,,,,,
G01,,,,,,,,,,,,
G01,,,,,,,,,,,,
G02,113,0.05125,,,,,,,,,,
G02,,,,,,,,,,,,
G02,,,,,,,,,,,,
G02,,,,,,,,,,,,
G03,94,0.05225,,,,,,,,,,
G03,,,,,,,,,,,,
G03,,,,,,,,,,,,
G03,,,,,,,,,,,,
G04,112,0.05075,,,,,,,,,,
G04,,,,,,,,,,,,
G04,,,,,,,,,,,,
G04,,,,,,,,,,,,
G05,113,0.05075,,,,,,,,,,
G05,,,,,,,,,,,,
G05,,,,,,,,,,,,
G05,,,,,,,,,,,,
G06,115,0.05175,,,,,,,,,,
G06,,,,,,,,,,,,
G06,,,,,,,,,,,,
G06,,,,,,,,,,,,
G07,121,0.05125,,,,,,,,,,
G07,,,,,,,,,,,,
G07,,,,,,,,,,,,
G07,,,,,,,,,,,,
G08,129,0.05175,,,,,,,,,,
G08,,,,,,,,,,,,
G08,,,,,,,,,,,,
G08,,,,,,,,,,,,
G09,117,0.052,,,,,,,,,,
G09,,,,,,,,,,,,
G09,,,,,,,,,,,,
G09,,,,,,,,,,,,
G10,132,0.0515,,,,,,,,,,
G10,,,,,,,,,,,,
G10,,,,,,,,,,,,
G10,,,,,,,,,,,,
G11,102,0.052,,,,,,,,,,
G11,,,,,,,,,,,,
G11,,,,,,,,,,,,
G11,,,,,,,,,,,,
G12,138,0.0505,,,,,,,,,,
G12,,,,,,,,,,,,
G12,,,,,,,,,,,,
G12,,,,,,,,,,,,
H01,80,0.05325,,,,,,,,,,
H01,,,,,,,,,,,,
H01,,,,,,,,,,,,
H01,,,,,,,,,,,,
H02,112,0.04925,,,,,,,,,,
H02,,,,,,,,,,,,
H02,,,,,,,,,,,,
H02,,,,,,,,,,,,
H03,100,0.05075,,,,,,,,,,
H03,,,,,,,,,,,,
H03,,,,,,,,,,,,
H03,,,,,,,,,,,,
H04,113,0.051,,,,,,,,,,
H04,,,,,,,,,,,,
H04,,,,,,,,,,,,
H04,,,,,,,,,,,,
H05,104,0.05075,,,,,,,,,,
H05,,,,,,,,,,,,
H05,,,,,,,,,,,,
H05,,,,,,,,,,,,
H06,110,0.05075,,,,,,,,,,
H06,,,,,,,,,,,,
H06,,,,,,,,,,,,
H06,,,,,,,,,,,,
H07,122,0.051,,,,,,,,,,
H07,,,,,,,,,,,,
H07,,,,,,,,,,,,
H07,,,,,,,,,,,,
H08,95,0.053,,,,,,,,,,
H08,,,,,,,,,,,,
H08,,,,,,,,,,,,
H08,,,,,,,,,,,,
H09,135,0.05,,,,,,,,,,
H09,,,,,,,,,,,,
H09,,,,,,,,,,,,
H09,,,,,,,,,,,,
H10,127,0.05175,,,,,,,,,,
H10,,,,,,,,,,,,
H10,,,,,,,,,,,,
H10,,,,,,,,,,,,
H11,125,0.051,,,,,,,,,,
H11,,,,,,,,,,,,
H11,,,,,,,,,,,,
H11,,,,,,,,,,,,
H12,136,0.0535,,,,,,,,,,
H12,,,,,,,,,,,,
H12,,,,,,,,,,,,
H12,,,,,,,,,,,,
,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,
Assay ID: ,,,,1896,,,,,,,,
Assay Started: ,,,,17/03/2022 1:52:12 p.m.,,,,,,,,
Assay Finished: ,,,,17/03/2022 1:54:36 p.m.,,,,,,,,
Assay Exported: ,,,,17/03/2022 1:55:25 p.m.,,,,,,,,
Assay Started By: ,,,,N/A,,,,,,,,
Protocol ID: ,,,,100161,,,,,,,,
Protocol Name: ,,,,Mark_Pyo_AbsEm,,,,,,,,
Serial#: ,,,,23000214,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,
Protocol name,,,,Mark_Pyo_AbsEm,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,
Rotated plate,,,,No,,,,,,,,
Soft move,,,,No,,,,,,,,
Protocol notes,,,, ,,,,,,,,
,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,
Name of the plate type,,,,96 General,,,,,,,,
Number of rows,,,,8,,,,,,,,
Number of columns,,,,12,,,,,,,,
Number of the wells in the plate,,,,96,,,,,,,,
Height of the plate,,,,14.35 mm,,,,,,,,
Diameter of the well,,,,6.5 mm,,,,,,,,
Volume of the well,,,,300 µl,,,,,,,,
,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,
96 General,,,,,,,,,,,,
14.38 mm x------------------------------------------------------ x 113.38 mm,,,,,,,,,,,,
11.24 mm                                                           11.24 mm,,,,,,,,,,,,
,,,,,,,,,,,,
14.38 mm x------------------------------------------------------ x 113.38 mm,,,,,,,,,,,,
74.24 mm                                                           74.24 mm,,,,,,,,,,,,
,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,
Plate,,,,1,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,
,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,
Plate,,,,1,,,,,,,,
 Formula index,,,,Calc 1,,,,,,,,
 Formula name,,,,Average within well,,,,,,,,
 Formula,,,,Average within well where Measurement: C,,,,,,,,
,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,
Export format,,,,ListC,,,,,,,,
Picture,,,,No,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,
Field separator to use,,,,System,,,,,,,,
File name format,,,,D:\mark\2022_AbsEM\Day2\D2_P5_R1.csv,,,,,,,,
Exported data,,,,Well MeasA:Result Calc1:Average within well,,,,,,,,
,,,,,,,,,,,,
Operations:,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,
  Shake,,,,,,,,,,,,
    Duration,,,,3 s,,,,,,,,
    Speed,,,,60,,,,,,,,
    Diameter,,,,3 mm,,,,,,,,
    Shake mode,,,,Linear,,,,,,,,
    Plate location,,,,Inside,,,,,,,,
    First assay/plate repeat affected,,,,1,,,,,,,,
    Last assay/plate repeat affected,,,,1,,,,,,,,
  Measurement,,,,,,,,,,,,
    Meas,,,,A,,,,,,,,
    Tech,,,,Fluorescence,,,,,,,,
  Scan measurement,,,,,,,,,,,,
    Meas,,,,C,,,,,,,,
    Tech,,,,Absorbance,,,,,,,,
    Number of horizontal points (X),,,,2,,,,,,,,
    Number of vertical points (Y),,,,2,,,,,,,,
    Distance between points,,,,0.72 mm,,,,,,,,
    Scan mode,,,,Rectangle,,,,,,,,
,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,
Meas ,,,,A,,,,,,,,
Exc. filter,,,,N/A,,,,,,,,
Using of excitation filter,,,,Top,,,,,,,,
Excitation wavelength,,,,400 nm,,,,,,,,
Emission wavelength,,,,440 nm,,,,,,,,
Measurement height,,,,9.5 mm,,,,,,,,
Number of flashes,,,,40,,,,,,,,
Number of flashes integrated,,,,40,,,,,,,,
Flash power,,,,100%,,,,,,,,
Excitation light,,,,100%,,,,,,,,
Reference excitation light,,,,100%,,,,,,,,
Emission light,,,,100%,,,,,,,,
Reference AD gain,,,,2,,,,,,,,
Reference signal,,,,1525564,,,,,,,,
Last edited,,,,16/03/2022 1:06:00 p.m.,,,,,,,,
Last edited by,,,,EnSpire,,,,,,,,
Factory preset,,,,No,,,,,,,,
,,,,,,,,,,,,
Meas ,,,,C,,,,,,,,
Exc. filter,,,,N/A,,,,,,,,
Excitation wavelength,,,,400 nm,,,,,,,,
Measurement height,,,,7.5 mm,,,,,,,,
Number of flashes,,,,40,,,,,,,,
Number of flashes integrated,,,,40,,,,,,,,
Flash power,,,,100%,,,,,,,,
Excitation light,,,,100%,,,,,,,,
Reference excitation light,,,,100%,,,,,,,,
Reference AD gain,,,,1,,,,,,,,
Reference signal,,,,966,,,,,,,,
Last edited,,,,16/03/2022 1:08:31 p.m.,,,,,,,,
Last edited by,,,,EnSpire,,,,,,,,
Factory preset,,,,No,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
Monochromator cutoff 230,,,,140,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X230co Longpass=230nm  Tmin=90%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Monochromator cutoff 360,,,,141,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X360co Longpass=360nm  Tmin=90%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Monochromator cutoff 585,,,,142,,,,,,,,
Filter polarization,,,,None,,,,,,,,
Description,,,,X585co Longpass=585nm  Tmin=75%,,,,,,,,
Used with,,,,,,,,,,,,
Last edited,,,,1/01/2011,,,,,,,,
Last edited by,,,,Installation,,,,,,,,
Factory preset,,,,Yes,,,,,,,,
,,,,,,,,,,,,
Instrument:,,,,,,,,,,,,
Serial number,,,,23000214,,,,,,,,
Nickname,,,,EnSpire,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Exported with EnSpire Workstation version 4.10.3005.1440,,,,,,,,,,,,
